id,stem,choices,correctKey,rationale,module,topic,skillArea,sourceType,locale,published,sourcePdf,solutionPdf,itemIndex
bank-exam-x5-t1-04-d135c838ed,"Slovné spojenie prídete k nám má rovnaký rytmus ako spojenie nádherne spí, ale iný rytmus ako spojenie moderný štýl. Ktoré z uvedených slovných spojení má iný rytmus ako zvyšné tri?",A. ponáhľam sa|B. vidiecky dom|C. odídu preč|D. nepoviem nič,D,"Všímame si krátke a dlhé hlásky v spojeniach. A: po-ná-hľam-sa (K-D-K-K), B: vi-die-cky-dom (K-D-K- K), C: o-dí-du-preč (K-D-K-K), D: ne-po-viem-nič (K-K-D-K).",M1,T1,VJS,bank,sk,true,1_VJSJP8_Test_X5_Exam-vhpcld.pdf,1_VSJP8_Test_X5_Exam_Riesenie-qaqtdt.pdf,4
bank-t1-04-4ef431f056,"Ktorú dvojicu slov možno doplniť na vynechané miesta tak, aby vznikol zmysluplný text? Lev sa od iných mačkovitých šeliem ____ krátkou priliehavou srsťou a koncom chvosta, kde má dlhú srsť. Už na prvý pohľad vidieť ____ dimorfizmus.",A. delí – bezprízorný|B. pýši – dominantný|C. marí – nadmerný|D. odlišuje – pohlavný,D,"odlišuje – pohlavný (od iných šeliem sa lev odlišuje; pohlavný dimorfizmus = samec sa od samice líši, je to vidieť)",M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,4
bank-cielene-1-t1-05-279c5b03f2,"Mám balík cukríkov, v ktorom je 20 citrónových a 25 jablkových cukríkov. Minimálne koľko cukríkov musím vytiahnuť z balíčka, aby tam určite neostal žiadny jablkový?",A. 20|B. 25|C. 35|D. 45,D,"Musím vytiahnuť všetky, lebo ten posledný by mohol ostať jablkový.",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,5
bank-exam-x5-t1-05-7e506f4d9a,"Pokúste sa odhadnúť, ktoré z nasledujúcich slovných spojení v holandčine, patriacej medzi germánske jazyky, obsahuje farbu.",A. goed kind|B. koud ijs|C. witte brood|D. hoog jongen,C,"Hľadáme slovo, ktoré nám pripomenie farbu – v nemčine alebo angličtine, keďže sa jedná o germánske jazyky. Witte brood – podobné white, weiss, znamená biely chlieb.",M1,T1,VJS,bank,sk,true,1_VJSJP8_Test_X5_Exam-vhpcld.pdf,1_VSJP8_Test_X5_Exam_Riesenie-qaqtdt.pdf,5
bank-t1-05-77d69a3592,"Ktorú dvojicu slov možno doplniť na vynechané miesta tak, aby vznikol zmysluplný text? Prečo ____ dvojicu elitných ____? Nahral si ich policajný kolega, ktorý spolupracoval s inšpekciou.",A. obvinili – vyšetrovateľov|B. podviedli – úradníkov|C. usvedčili – diplomatov|D. prepustili – kolegov,A,obvinili – vyšetrovateľov (ustálené spojenie elitní vyšetrovatelia),M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,5
bank-exam-x5-t1-06-764d99f855,"Aj keď pravdepodobne neviete po srbsky, pokúste sa odhadnúť, v ktorej vete je spomenutý člen rodiny.","A. Sahrana će biti sledećeg petka u jedenaest sati|B. Danas je lep dan, idem u grad sa prijateljima|C. Dal i mogu da vas pozovem na ručak sutra oko pola osam?|D. Baka je u avgustu napunila sedamdeset osam godina",D,"Keďže srbčina je slovanský jazyk, skúšame hľadať slová podobné slovenským. D – Babka v auguste dosiahla sedemdesiat osem rokov. Ostatné: A - Pohreb bude budúci piatok o jedenástej hodine. B - Dnes je krásny deň, idem s priateľmi do mesta. C - Môžem vás pozvať zajtra okolo pol ôsmej na obed?",M1,T1,VJS,bank,sk,true,1_VJSJP8_Test_X5_Exam-vhpcld.pdf,1_VSJP8_Test_X5_Exam_Riesenie-qaqtdt.pdf,6
bank-t1-06-9a7e73d7c6,"Ktorú dvojicu slov možno doplniť na zakryté miesta tak, aby vznikol zmysluplný text? Palina pravá je trváca veľká bylina (výška do 1 m) s hustými chĺpkami na striebrosivých osiach. Na Slovensku je ______ najmä v teplejších oblastiach; rastie ______ na vápencoch. Sušená vňať obsahuje pol percenta silice, ktorá má tmavozelenú až modrú farbu.",A. hojná – najmä|B. stratená – všade|C. horká – niekde|D. známa – vlastne,A,hojná – najmä – jedin é zmysluplné spojenie je „rastie najmä na vápencoch“,M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,6
bank-cielene-1-t1-07-29f99bdd23,Ktoré zo slov logicky nesúvisí so zvyšnými troma?,A. ropovod|B. vodovod|C. zvukovod|D. plynovod,C,"ropovod, vodovod a plynovod – technické dopravné zariadenia, Zvukovod – súčasť ucha.",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,7
bank-exam-x5-t1-07-51136bd573,"V ktorom z uvedených slov možno nahradiť otázniky písmenami (1 otáznik = 1 písmeno) tak, aby vzniklo slovo (v nominatíve singuláru) označujúce povolanie?",A. ??TOV??|B. ???VOK???|C. ??DIN???|D. ???DAV??,D,"Predavač. Ostatné možnosti zvyčajne majú menej alebo viac otáznikov ako je potrebné – B by mohlo byť advokát, C – hodinár.",M1,T1,VJS,bank,sk,true,1_VJSJP8_Test_X5_Exam-vhpcld.pdf,1_VSJP8_Test_X5_Exam_Riesenie-qaqtdt.pdf,7
bank-t1-07-6ca88115bd,"Ktorú dvojicu slov možno doplniť na zakryté miesta tak, aby vznikol zmysluplný text? Človek neandertálsky (lat. Homo neanderthalensis) je ______ druh rodu človek (Homo ). ______ je podľa náleziska Neandertal v Nemecku.",A. novodobý – schovaný|B. jediný – nájdený|C. vyhynutý – pomenovaný|D. nadradený – nazvaný,C,vyhynutý – pomenovaný – pomôže nám všeobecný prehľad a aj spojenie „pomenovaný podľa“ – nepovieme je schovaný/nájdený podľa,M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,7
bank-cielene-1-t1-08-579d519c71,Dvojica pojmov prvok → zlúčenina je v rovnakom logickom vzťahu ako dvojica pojmov:,A. voda → hadica|B. minúta → hodina|C. veniec → kvet|D. auto → cesta,B,"vzťah časti k celku, zlúčenina sa skladá z prvkov, hodina sa skladá z minút.",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,8
bank-exam-x5-t1-08-ce45328da3,"V ktorej vete možno v oboch zvýraznených slovách zmeniť poradie písmen tak, aby vznikli spisovné a správne napísané slová, ktoré sa významovo aj gramaticky hodia do vety?","A. Meteorológovia vydali TRAHAVÝSU druhého stupňa pred MIODPOŇVA|B. Novela AZONÁK sprísnila opatrenia proti MISTRÉZEXUM|C. Prejavy MUSIRAZ na internete nemôžeme VOTERAŤOL|D. Vzrastá počet VRATOMING, ktorí v Európe žiadajú o ZALYE",C,"A – výstrahu(a), povo(o)dňanmi, B – zákona, extrémistum / extrémistom, C – rasizmu, tolerovať, D – imograntov/ imigrantov, azyl(e).",M1,T1,VJS,bank,sk,true,1_VJSJP8_Test_X5_Exam-vhpcld.pdf,1_VSJP8_Test_X5_Exam_Riesenie-qaqtdt.pdf,8
bank-t1-08-8b84b69ad0,"Ktorú dvojicu slov možno doplniť na zakryté miesta tak, aby vznikol zmysluplný text? Caesar bol všestrannou osobnosťou, ktorá vstúpila do ______ i svetovej histórie vo viacerých súvislostiach. Na rímskej politickej scéne patril k ______ strany populárov, ktorí sa opierali o ľudovú podporu a tvorili protipól ku konzervatívnej aristokraticke j strane optimátov.",A. slovenskej – priateľom|B. rímskej – stúpencom|C. miestnej – manažérom|D. gréckej – vládcom,B,"rímskej – stúpencom – všímame si spojenie rímska politická scéna – priradíme teda prívlastok rímska a pri politickej scéne hovoríme o stúpencoch strany (nie napr, priateľoch)",M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,8
bank-cielene-1-t1-09-64ec88cd22,"Filip si vymyslel princíp, podľa ktorého ku písmenám priradil číslo. Tu je niekoľko príkladov: B → 0 A → 1 N → 1 K → 0 L → 1 Ktorému z nasledujúcich písmen je priradené zlé číslo?",A. X → 0|B. M → 0|C. S → 1|D. G → 1,D,"Prvá skupina – pridaním dĺžňa alebo mäkčeňa vznikne nové písmeno abecedy (A, Á, N, Ň, L, Ľ, Ĺ, S, Š), druhá skupina – písmeno v abecede existuje len raz (B, K, X, M).",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,9
bank-exam-x5-t1-09-f2327a0f8d,V ktorej z nasledujúcich možností možno z oboch slovných základov vytvoriť zmysluplné slová po pridaní predpony dis-?,"A. -harmónia, -patia|B. -téza, -komfort|C. -proporcia, -kvalifikácia|D. -kontinuita, -kurzia",C,"A – disharmónia, antipatia /empatia, B – hypotéza, diskomfort, D – diskontinuita, exkurzia (možno si pomýliť so slovom diskusia).",M1,T1,VJS,bank,sk,true,1_VJSJP8_Test_X5_Exam-vhpcld.pdf,1_VSJP8_Test_X5_Exam_Riesenie-qaqtdt.pdf,9
bank-t1-09-ada819ee01,"Ktorú dvojicu slov možno doplniť na zakryté miesta tak, aby vznikol zmysluplný text? Karibik (iné názvy: Karibská oblasť, karibský región) je oblasť v strednej časti Ameriky, ktorá ______ Antily a Bahamy a prípadne aj ich blízke či široké okolie; presná definícia je ______. Karibik sa považuje buď za súčasť Strednej Ameriky, alebo (spolu so Strednou Amerikou) za súčasť Severnej Ameriky.",A. vynecháva – jasná|B. obchádza – neznáma|C. zahŕňa – sporná|D. obmýva – daná,C,"zahŕňa – sporná (keďže sa uvádza, že súčasťou Karibiku je prípadne aj okolie, znamená to, že presná definícia nie je jasná ani daná.",M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,9
bank-exam-x5-t1-10-446189ffff,V ktorej z nasledujúcich viet je zakryté slovo kliesnili?,A. Urazení rytieri okamžite ........................... meče|B. Konáre nám ...........................výhľad na mesto|C. Celé hodiny sme si ........................... cestu džungľou|D. Ulicu po celej šírke ........................... policajné zátarasy,C,Správna odpoveď: C.,M1,T1,VJS,bank,sk,true,1_VJSJP8_Test_X5_Exam-vhpcld.pdf,1_VSJP8_Test_X5_Exam_Riesenie-qaqtdt.pdf,10
bank-t1-10-125f47eeb7,"Ktorú dvojicu slov možno doplniť na zakryté miesta tak, aby vznikol zmysluplný text? Neón (gr. νέος (neon) = nový) je chemický prvok v Periodickej tabuľke prvkov, ktorý má značku Ne a protónové číslo 10. Je to bezfarebný plyn, bez chuti a zápachu, nereaktívny. Chemické ______ neónu nie sú známe. Neón objavili William Ramsay a Morris Travers v roku 1898. Kvapalný neón sa používa v kryogénnej technike ako ______ drahšieho a ťažšie pripraviteľného kvapalného hélia. Neón sa používa aj ako náplň do niektorých typov laserov.",A. vlastnosti – druh|B. patálie – koncentrát|C. zlúčeniny – náhrada|D. látky – výdobytok,C,zlúčeniny – náhrada (drahšie hélium chceme neónom nahradiť ),M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,10
bank-cielene-1-t1-11-9fc891a8e9,"Nasledujúca postupnosť je vytvorená podľa určitého logického princípu . Čo by v nej mohlo nasledovať? mer, ven, zem, mar, jup, sat, urá,...",A. ept|B. kúr|C. ars|D. nep,D,"poradie planét smerom od Slnka: Merkúr, Venuša, Zem, Mars, Jupiter, Saturn, Urán, Neptún.",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,11
bank-t1-11-b5a130c09c,"V uvedenom texte je poprehadzované poradie viet. Keď vety zoradíme do správneho poradia, ktorá veta bude predposledná? V1: Samozrejme, má 200g mäsa, syr čedar, slaninu, plátky paradajok a omáčku. V2: Stále sa neviem rozhodnúť. V3: Budete si želať aj dezert za jedlom? V4: Máte Váš pravidelný hamburger? V5: Poviem Vám, keď mi prinesiete objednávku.",A. V1|B. V2|C. V3|D. V4,B,"V2 (správne poradie je V4, V1, V3, V2, V5 . Pozor! V tomto prípade sú vety V2 a V5 prehovorom jed nej osoby )",M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,11
bank-cielene-1-t1-12-12d25ed0a1,Tri z pojmov spája istá logická súvislosť. Ktorý z pojmov do skupiny nepatrí?,A. Fahrenheit|B. Ohm|C. Kelvin|D. Celsius,B,V Ohmoch sa neurčuje teplota.,M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,12
bank-t1-12-0791796b1c,"V uvedenom texte je poprehadzované poradie viet. Ktorá veta do textu logicky nezapadá? V1: Používal sa ale iba do šestnásteho storočia, kedy už bola jeho odchýlka neúnosná. V2: Mesiac júl je pomenovaný po rímskom cisárovi Júliovi Cézarovi. V3: Ten za pomoci filozofov zmenil chaotický rímsky kalendár na takzvaný juliánsky. V4: Preto sa Októbrová revolúcia udiala podľa juliánskeho kalendára v októbri, no podľa gregoriánskeho v novembri . V5: Bol zavedený v roku 46 pred naším letopočtom.",A. V1|B. V2|C. V3|D. V4,D,"V4 (o Októbrovej revolúcii doposiaľ nebola zmienka, navyše pozor na „Preto “, ktoré na nič z možností priamo nenadväzuje)",M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,12
bank-cielene-1-t1-13-66b6b3ecca,Nasledujúci graf zobrazuje vývoj počtu hospitalizácií a priemerného ošetrovacieho času na Slovensku medzi rokmi 2001 a 2019 (zdroj: NCZI). Ktoré z uvedených tvrdení je pravdivé?,"A. Priemerný ošetrovací čas medzi rokmi 2005 a 2015 klesol o 1,7 minúty|B. V roku 2009 bolo hospitalizovaných dvakrát viac mužov ako žien|C. Priemerný počet hospitalizácií na 1000 obyvateľov bol najvyšší v roku 2016|D. Priemerný ošetrovací čas a priemerný počet hospitalizácií na 1000 obyvateľov od roku 2012 konštantne rástol",C,Správna odpoveď: C.,M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,13
bank-t1-13-be82269c56,"Nasledujúca otázka sa týka predchádzajúceho textu . Pokiaľ vynecháme vetu, ktorá do textu nezapadá, ktorá veta bude posledná?",A. V1|B. V2|C. V3|D. V4,A,"V1 (správne poradie je V2, V3, V5, V1 – veta 1 u zatvára príbeh o kalendári)",M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,13
bank-cielene-1-t1-14-7f39682dda,"Peťovi trvá vypracovanie jedného príkladu z matematiky 1,5 – násobne dlhšie ako Tomáškovi. Artur počíta každý príklad ešte o 5 minút dlhšie ako Peťo. Ktorá rovnica vyjadruje popísanú situáciu?","A. A - 5 = 1, 5 x T|B. A = 1,5 x P + 5|C. T = (P – 1, 5) x 5|D. P = 1,5 x T – 5 x A",A,"Peťo = 1, 5 x Tomáško, Artur = Peťo + 5 Artur = 1,5 x Tomáško + 5 Artur – 5 = 1,5 x Tomáško",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,14
bank-t1-14-404be884d7,"V uvedenom texte je poprehadzované poradie viet. Keď vety zoradíme do správneho poradia, ktorá veta bude predposledná? V1: Predsociologické myslenie je tu tak dlho, ako ľudstvo samo. V2: Sociológia je vo všeobecnosti veda o spoločnosti. V3: Ako iné vedy, aj sociológia má dlhé dejiny, ale krátku históriu. V4: Lepšie povedané, je to veda, ktorá sa zaoberá skúmaním spoločenských javov.",A. V1|B. V2|C. V3|D. V4,C,"V3 (správne poradie je V 2, V4, V3, V1)",M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,14
bank-cielene-1-t1-15-bac86c9c22,"Nasledujúcu postupnosť sme utvorili podľa určitého princípu: rakva, hrôza, okruh, tatra, ... Ktorá z možností nasleduje v postupnosti?",A. Lopta|B. Hrach|C. Kôpor|D. Balón,C,"sledujeme polohu písmena R – najprv na prvom mieste v slove, druhom,...",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,15
bank-t1-15-e12e3ae69e,Nasledujúca otázka sa týka predchádzajúceho tex tu : Aké je správne zoradenie viet v tomto prípade?,"A. V1, V3, V4, V2|B. V2, V4, V3, V1|C. V3, V2, V4, V1|D. V3, V1, V2, V4",B,"V2 , V4, V3, V 1 (B – v text e ideme o d všeobecných informácií ku konkrétnejším , všímame si nadväzujúce spojky )",M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,15
bank-cielene-1-t1-16-72d73d6932,Slovné spojenie loď – kormidlo je v rovnakom vzťahu ako slovné spojenie:,A. kapitán – tetovanie|B. volant - auto|C. čln – pádlo|D. more – ryba,C,"hľadáme súvislosť: Loď sa ovláda kormidlom, čln sa ovláda pádlom.",M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,16
bank-t1-16-68c1c4f17b,"V uvedenom postupe je poprehadzované poradie viet. Keď vety zostavíme do zmysluplného textu, ktorá veta bude predposledná? V1: Do stredu každého pridáme lyžicu slivkového lekváru. V2: Dôkladne zabalíme, aby plnka nevytiekla a opatrne vytvarujeme buchty. V3: Cesto pomúčenými rukami našponujeme, vrátime naspäť do misky, prikryjeme utierkou a necháme na teplom mieste aspoň hodinu kysnúť, kým sa zdvojnásobí objem. V4: Potom ho na pomúčenej doske rukami krátko premiesime a rozvaľkáme natenko do tvaru obdĺžnika, ktorý rozrežeme na 12 štvorcov.",A. V1|B. V2|C. V3|D. V4,A,"V1 (správne poradie je V3, V4, VI, V2 – postupujeme od cesta až k buchtám)",M1,T1,VJS,bank,sk,true,VSJP8_Mudre-predplatne_1_Ulohy-zhbksb.pdf,VSJP8_Mudre-predplatne_1_Riesenia-eqakog.pdf,16
bank-cielene-1-t1-17-0241e1f908,"Sirup sa môže zapojiť do súťaže „O zlatý vrchnák“, pokiaľ spĺňa nasledovné podmienky: obsahuje minimálne 50% podiel červeného ovocia, neobsahuje pomaranč a pri výrobe sa použilo maximálne 500 g cukru na 1 kg ovocia. Ktorý zo sirupov sa môže do súťaže zapoj iť?","A. Sirup Jahodová vášeň: Obsahuje 6 kg jahôd, 3 kg jabĺk, 100 g kyseliny citrónovej a 5700 g cukru|B. Sirup Malinová kvapka: Obsahuje 4 kg malín, 1500 g černíc, 1000 g hrušiek a 2 kg cukru|C. Sirup Višňový sen: Obsahuje 8,5 kg hrušiek, 5 kg čerešní, 250 g kyseliny citrónovej a 4700 g cukru|D. Sirup Čerešňová lahoda: Obsahuje 7 kg čerešní, 1 kg pomarančov a 1 kg cukru",B,Správna odpoveď: B.,M1,T1,VSP,bank,sk,true,VSJP8_Test-Cielene_1-g1iqhp.pdf,VSJP8_Test-Cielene_1_Riesenie-lq1nyo.pdf,17
